,name,region,X,Y
178,The Glenturret 10 Year Old Peat Smoke (2020 Maiden Release),Highland Whisky,0.06573213701150399,0.7834819980757721
179,Port Charlotte 10 Year Old,Islay Whisky,-0.32690017230985907,0.8417896487770028
180,Jura 13 Year Old 2006 Two-One-Two,Island Whisky,-0.09838495282183621,-0.43360506754491124
181,Smokehead,Islay Whisky,1.154432708310297,0.7467953161165328
183,Knockando 15 Year Old 2003,Speyside Whisky,0.04648758323754301,-0.057907643042409085
185,Glenmorangie The Elementa 14 Year Old,Highland Whisky,-0.3243126272213693,-0.44222773866730697
186,Tomatin 13 Year Old 2006 Fino Sherry Cask,Highland Whisky,-0.031833560431045405,-0.04789468285927197
188,Bruichladdich 8 Year Old 2010 Bere Barley,Islay Whisky,-0.3393471924554459,-0.30969979054533053
189,Old Pulteney 25 Year Old,Highland Whisky,-0.3952796088638617,0.18356752760058073
190,The Glenturret 15 Year Old (2021 Release),Highland Whisky,0.07897019462683402,-0.21748373516968658
191,Benriach 12 Year Old 2009 (cask 4835) - Peated,Speyside Whisky,-0.43641057667713645,0.31822657436775215
192,Balvenie Tun 1509 - Batch 6,Speyside Whisky,0.049168738088440786,-0.29966067399922214
193,Balvenie 26 Year Old - A Day of Dark Barley,Speyside Whisky,0.24369227071046543,-0.22636522325129135
194,Benrinnes 15 Year Old - Flora and Fauna,Speyside Whisky,-0.15306131257660022,0.3705121697158588
195,Wolfburn Kylver Series - Release 3,Highland Whisky,-0.3656756165202055,0.254540997979909
196,Glen Ord 12 Year Old 2007 - Mey Selections,Highland Whisky,0.1358856294523892,-0.2188733472105822
197,Bunnahabhain 25 Year Old,Islay Whisky,0.4942508680987538,-0.5266499860275697
198,Grace Île 25 Year Old - The Character of Islay Whisky Company,Islay Whisky,0.23331609864567604,0.47785577416861313
199,Bunnahabhain 11 Year Old - Discovery (Gordon & MacPhail),Islay Whisky,-0.5712669077146542,-0.6412231039201202
200,Glen Moray Port Cask Gift Pack with 2x Glasses,Speyside Whisky,-0.2663277608010463,-0.22960224064227272
201,Robert Burns Single Malt,Island Whisky,0.11122618139422397,-0.3277562246315016
202,Talisker 10 Year Old 2009 (cask 14410) - Old Particular (Douglas Laing),Island Whisky,0.3335157969570757,1.3383893809881218
203,Loch Lomond 12 Year Old,Highland Whisky,-0.3238358060926961,-0.13790716712528578
204,Tamnavulin Double Cask,Speyside Whisky,-0.3057560395150387,-0.4396010720177781
205,Glen Elgin 25 Year Old 1995 (cask 3270) - Cask Strength Collection (Signatory),Speyside Whisky,-0.00490309812486453,-0.1105077885111806
206,Benriach The Twenty One,Speyside Whisky,-0.9382400941173357,-0.26348647526347013
207,Auchentoshan American Oak,Lowland Whisky,-0.3110513077682298,-0.0019895698957674013
209,Bowmore 1991 (bottled 2016) (cask 253010) - Rare Select (Montgomerie's),Islay Whisky,0.41389743851789257,1.163512939374088
210,Caperdonich 21 Year Old - Secret Speyside Collection,Speyside Whisky,0.23440893071609978,0.025222633029740375
211,SPEY Trutina,Speyside Whisky,-0.3276951627770981,-0.046626632273097685
212,GlenAllachie 12 Year Old Chinquapin Oak Finish,Speyside Whisky,-0.6384642954705021,0.29513666703367086
214,Bunnahabhain 10 Year Old (That Boutique-y Whisky Company),Islay Whisky,-0.13239188059019963,0.37561420091561715
215,Mortlach 15 Year Old - Distillery Labels (Gordon & MacPhail),Speyside Whisky,-0.5518877106420015,-0.20832313723216375
216,Glenmorangie The Tribute 16 Year Old,Highland Whisky,0.2681727795232934,0.6670483686217876
218,Glenlossie 22 Year Old 1995 (cask 1325) - Celebration of the Cask (Càrn Mòr),Speyside Whisky,-0.7784477511566579,-0.03136215174519637
219,Auchroisk 37 Year Old (That Boutique-y Whisky Company),Speyside Whisky,-0.40755435019624625,0.08757719354023312
220,Glenkinchie 2007 (bottled 2019) Amontillado Cask Finish - Distillers Edition,Lowland Whisky,-0.8944344374559631,-0.1400639160625405
221,Longmorn 18 Year Old - Secret Speyside Collection,Speyside Whisky,-0.4253771234970466,-0.225327728639336
222,Auchentoshan 21 Year Old 2000 (cask 800027) - Cask Strength Collection (Signatory),Lowland Whisky,-0.3832384448061922,-0.24002262992576842
223,Bowmore No.1,Islay Whisky,-0.3236243373549973,1.2673723037588829
224,Caol Ila 9 Year Old 2011 (casks 317218 & 317232) Un-Chilfiltered Collection  (Signatory),Islay Whisky,-0.194543820108973,1.4032176200513697
225,Tomintoul Cigar Malt,Speyside Whisky,-0.4374315001824449,-0.12541158912101252
227,Dalmore 10 Year Old - Vintage 2009,Highland Whisky,-0.6902606973083931,-0.28605296343783104
228,Benromach 10 Year Old,Speyside Whisky,0.5084358972848364,-0.25305777939999924
229,Balblair 18 Year Old,Highland Whisky,0.05022150877370718,-0.5193965874452477
231,Smokehead High Voltage,Islay Whisky,-0.5950824972786599,0.5610438584847987
232,Bladnoch Samsara,Lowland Whisky,0.4127923873917711,-0.37330672378222984
233,Glen Moray 15 Year Old - Elgin Heritage,Speyside Whisky,-0.8982927386655299,0.05682845263348882
235,The Glenrothes 12 Year Old - Soleo Collection Gift Pack with 2x Glasses,Speyside Whisky,0.1201524468790442,-0.26637173285802346
236,The Ardmore Legacy,Highland Whisky,-0.18369635849310423,0.6951454435517243
237,Ardmore 14 Year Old (That Boutique-y Whisky Company),Highland Whisky,-0.28754495504712985,0.484286131270652
238,Auchroisk 10 Year Old - Flora and Fauna,Speyside Whisky,0.3993478273621086,0.12443903714412417
239,Glen Grant 12 Year Old,Speyside Whisky,-0.34727347642808115,-0.2201350868800618
240,Glen Elgin 14 Year Old 2007 (casks 800291 & 800294) - Un-Chillfiltered Collection (Signatory),Speyside Whisky,-0.06772189863101634,-0.30398019310962177
241,Glengoyne 10 Year Old,Highland Whisky,0.6604173263949022,-0.1711556299242172
242,Tamdhu 28 Year Old 1989 (cask 4126) - Mackillop's Choice,Speyside Whisky,-0.3824161571434127,-0.11470123897528553
243,Strathisla 15 Year Old Moscatel Cask Finish (Darkness),Speyside Whisky,-0.5003600544225977,-0.04333593883658879
244,Linkwood 7 Year Old 2014  - Folk (Fable Whisky),Speyside Whisky,-0.2135683534211229,-0.35048440855106666
245,Highland Park 21 Year Old - 2020 Release,Island Whisky,-0.5896025257555098,0.5161083318062657
246,Aultmore 18 Year Old,Speyside Whisky,-0.10847570045352584,-0.1120768717926717
248,Blair Athol 14 Year Old Oloroso Cask Finish (Darkness),Highland Whisky,-0.8989367505325094,-0.4424076680653873
249,Dalmore Port Wood Reserve Gift Pack with 2x Glasses,Highland Whisky,-0.7792801846554256,-0.2209719828998351
250,Tomatin Cask Strength 57.5%,Highland Whisky,-0.5759904146915631,0.06213052770500882
251,Benriach The Original Ten,Speyside Whisky,-0.4736002966525199,0.21342052904526693
252,Glenfarclas 17 Year Old,Speyside Whisky,0.9024382219614544,-0.25408862601093707
253,The Glenturret 12 Year Old (2021 Release),Highland Whisky,-0.07719388103946831,-0.38742097599532327
254,Linkwood 15 Year Old - Distillery Labels (Gordon & MacPhail),Speyside Whisky,-0.10494264512585608,-0.06395932741400369
255,Dalwhinnie Winter's Gold,Highland Whisky,-0.08011258061995401,-0.4230537441117478
256,Glengoyne The Legacy Series Chapter Two,Highland Whisky,-0.4325380601675871,-0.057819804667375366
258,Dalwhinnie 30 Year Old (Special Release 2020),Highland Whisky,0.5483363229558127,0.13615229193959544
259,Balblair 7 Year Old (That Boutique-y Whisky Company),Highland Whisky,0.37778090346559035,1.9700922135481684
260,Fettercairn 16 Year Old (1L),Highland Whisky,-0.6120816309688969,-0.3537044769856649
261,Fettercairn 22 Year Old,Highland Whisky,-0.44297046488332426,-0.2313315431714044
262,1770 Whisky Original,Lowland Whisky,0.15859535197458652,-0.30004708512571787
263,Tomintoul 14 Year Old 2005 (cask 6) - Sherry Butt Matured,Speyside Whisky,0.43596702460393505,-0.33067652263732566
264,Wolfburn Northland Single Malt,Highland Whisky,0.13481151895954935,0.15487066808475122
265,Auchroisk 27 Year Old 1990 (cask 13827) - Cask Strength Collection (Signatory),Speyside Whisky,-0.5025420539842965,-0.4026368736688971
266,Ardbeg 1974 - Connoisseurs Choice (Gordon & MacPhail),Islay Whisky,0.6415106235456267,0.4095273829797362
267,Inchmurrin 19 Year Old (cask 406) - Ainneamh,Highland Whisky,0.21056341403899576,-0.3859804050171459
268,Ben Nevis 7 Year Old 2013 (casks 414 & 415) - Un-Chillfiltered Collection (Signatory),Highland Whisky,-0.24934877455092058,-0.030446270228856667
269,Cù Bòcan Creation #1,Highland Whisky,-0.7289787764950388,-0.1409236612751346
270,Darkness! Glendullan 8 Year Old Oloroso Cask Finish,Speyside Whisky,0.21571672713579548,-0.3637723925656437
271,1770 Triple Distilled Gift Pack with 2x Glasses,Lowland Whisky,-0.6774889313322927,0.057514278585964154
272,Aberfeldy 15 Year Old,Highland Whisky,0.4172488592808512,-0.26456790433927224
273,Oban Little Bay,Highland Whisky,-0.8888214495522698,-0.08407482535831254
274,Tobermory 17 Year Old 2004 Oloroso Cask,Island Whisky,-0.2073121433574325,-0.14710599137483327
275,Port Charlotte OLC:01 2010,Islay Whisky,0.2929447822643968,0.30388123713684045
276,Tullibardine 2005 - The Murray Double Wood Edition,Highland Whisky,-0.07053521416725475,-0.5130882786618836
277,Auchentoshan 18 Year Old,Lowland Whisky,0.11738046592974405,-0.20476122921939816
278,Wolfburn Morven Single Malt,Highland Whisky,-0.16941578588041215,0.30042362643837817
279,Bunnahabhain 19 Year Old 2001 (Release No.11822) - The Stories of Wind & Wave (The Character of Islay Whisky Company),Islay Whisky,-0.18159633140343256,-0.6239475367473102
280,Glenrothes 12 Year Old 2009 (cask 6345) - Infrequent Flyers (Alistair Walker),Speyside Whisky,0.16255861220389628,-0.59923151865005
281,Benriach 11 Year Old 2009 (cask 4833) - Peated,Speyside Whisky,-0.05147858383890125,-0.16109775145011493
282,Fettercairn 11 Year Old 2008 (cask 16646) - Old Malt Cask (Hunter Laing),Highland Whisky,-0.2900168391638267,-0.04614582694116095
284,Longmorn Distiller's Choice,Speyside Whisky,-0.01501726821420297,-0.43799555434922144
285,Caol Ila 9 Year Old 2009 (cask 319291)  - Artful Dodger,Islay Whisky,0.060299416685358126,0.25683737708003807
286,Bunnahabhain 36 Year Old 1980 - Canasta Cask Finish,Islay Whisky,0.391286324188435,-0.39487540346526456
